Academic_Year,Institution_Name_EN,Institution_Emirate_AR,Institution_Emirate_EN,Sector_AR,Sector_EN,Nationality_EN,Profession_Type_EN,Profession_Type_AR,Total
2017-2018,INSTITUTE OF MANAGEMENT TECHNOLOGY-DUBAI,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,37
2017-2018,JUMEIRA UNIVERSITY,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,24
2017-2018,KHALIFA UNIVERSITY,خارج الدولة ,Outside of UAE ,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,253
2017-2018,KHALIFA UNIVERSITY,غير معروف,Unknown,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,158
2017-2018,LIWA COLLEGE OF TECHNOLOGY,غير معروف,Unknown,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,81
2017-2018,MENA COLLEGE OF MANAGEMENT,غير معروف,Unknown,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,1
2017-2018,MOHAMMED BIN RASHID SCHOOL OF GOVERNMENT,دبي,Dubai,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,10
2017-2018,MOHAMMED BIN RASHID UNIVERSITY OF MEDICINE AND HEALTH SCIENCES,غير معروف,Unknown,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,47
2017-2018,"NEW YORK UNIVERSITY, ABU DHABI",أبوظبي,Abu Dhabi,فرع مؤسسة دولية,Branch of International Institution,Non-National,Faculty,كادر التدريس الأكاديمي,288
2017-2018,RABDAN ACADEMY,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,39
2017-2018,RAS AL KHAIMAH MEDICAL AND HEALTH SCIENCES UNIVERSITY,خارج الدولة ,Outside of UAE ,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,103
2017-2018,RAS AL KHAIMAH MEDICAL AND HEALTH SCIENCES UNIVERSITY,رأس الخيمة,Ras Al Khaima,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,14
2017-2018,SAINT JOSEPH UNIVERSITY DUBAI,خارج الدولة ,Outside of UAE ,فرع مؤسسة دولية,Branch of International Institution,Non-National,Faculty,كادر التدريس الأكاديمي,5
2017-2018,SAINT JOSEPH UNIVERSITY DUBAI,دبي,Dubai,فرع مؤسسة دولية,Branch of International Institution,Non-National,Faculty,كادر التدريس الأكاديمي,26
2017-2018,SKYLINE UNIVERSITY COLLEGE,خارج الدولة ,Outside of UAE ,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,34
2017-2018,SYSCOMS COLLEGE,أبوظبي,Abu Dhabi,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,19
2017-2018,THE COLLEGE OF FASHION AND DESIGN,خارج الدولة ,Outside of UAE ,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,4
2017-2018,UNITED ARAB EMIRATES  UNIVERSITY,أبوظبي,Abu Dhabi,حكومة إتحادية,Federal Government,Non-National,Faculty,كادر التدريس الأكاديمي,926
2017-2018,UNIVERSITY OF DUBAI,دبي,Dubai,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,49
2017-2018,UNIVERSITY OF FUJAIRAH,الفجيرة,Fujairah,شبه حكومية,Semi Government,Non-National,Faculty,كادر التدريس الأكاديمي,22
2017-2018,UNIVERSITY OF MODERN SCIENCES,غير معروف,Unknown,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,49
2017-2018,UNIVERSITY OF WOLLONGONG IN DUBAI,خارج الدولة ,Outside of UAE ,فرع مؤسسة دولية,Branch of International Institution,Non-National,Faculty,كادر التدريس الأكاديمي,127
2017-2018,ZAYED UNIVERSITY,أبوظبي,Abu Dhabi,حكومة إتحادية,Federal Government,Non-National,Faculty,كادر التدريس الأكاديمي,356
2017-2018,ZAYED UNIVERSITY,دبي,Dubai,حكومة إتحادية,Federal Government,Non-National,Faculty,كادر التدريس الأكاديمي,309
2018-2019,ABU DHABI POLYTECHNIC,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,119
2018-2019,ABU DHABI SCHOOL OF MANAGEMENT,أبوظبي,Abu Dhabi,شبه حكومية,Semi Government,Non-National,Faculty,كادر التدريس الأكاديمي,12
2018-2019,ABU DHABI UNIVERSITY,أبوظبي,Abu Dhabi,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,336
2018-2019,ABU DHABI UNIVERSITY,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,6
2018-2019,AJMAN UNIVERSITY ,الفجيرة,Fujairah,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,69
2018-2019,AJMAN UNIVERSITY ,عجمان,Ajman,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,387
2018-2019,AL AIN UNIVERSITY,أبوظبي,Abu Dhabi,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,341
2018-2019,AL DAR UNIVERSITY COLLEGE,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,61
2018-2019,AL FALAH UNIVERSITY,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,35
2018-2019,AL GHURAIR UNIVERSITY,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,72
2018-2019,AL KHAWARIZMI INTERNATIONAL COLLEGE,أبوظبي,Abu Dhabi,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,92
2018-2019,AL WASL UNIVERSITY,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,55
2018-2019,AMERICAN COLLEGE OF DUBAI,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,13
2018-2019,AMERICAN UNIVERSITY IN DUBAI,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,238
2018-2019,AMERICAN UNIVERSITY IN THE EMIRATES,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,154
2018-2019,AMERICAN UNIVERSITY OF RAS AL KHAIMAH,رأس الخيمة,Ras Al Khaima,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,110
2018-2019,AMERICAN UNIVERSITY OF SHARJAH,الشارقة,Sharjah,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,404
2018-2019,BRITISH UNIVERSITY IN DUBAI,دبي,Dubai,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,35
2018-2019,CANADIAN UNIVERSITY DUBAI,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,176
2018-2019,CITY UNIVERSITY AJMAN,عجمان,Ajman,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,111
2018-2019,DUBAI INSTITUTE OF DESIGN AND INNOVATION,دبي,Dubai,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,4
2018-2019,DUBAI MEDICAL COLLEGE FOR GIRLS,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,54
2018-2019,DUBAI PHARMACY COLLEGE FOR GIRLS,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,36
2018-2019,EMIRATES ACADEMY FOR IDENTITY & CITIZENSHIP,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,10
2018-2019,EMIRATES ACADEMY OF HOSPITALITY MANAGEMENT,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,13
2018-2019,EMIRATES AVIATION UNIVERSITY,دبي,Dubai,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,107
2018-2019,EMIRATES COLLEGE FOR ADVANCED EDUCATION,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,25
2018-2019,EMIRATES COLLEGE FOR MANAGEMENT AND INFORMATION TECHNOLOGY,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,14
2018-2019,EMIRATES INSTITUTE FOR BANKING AND FINANCIAL STUDIES,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,21
2018-2019,EMIRATES INSTITUTE FOR BANKING AND FINANCIAL STUDIES,الشارقة,Sharjah,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,18
2018-2019,EMIRATES INSTITUTE FOR BANKING AND FINANCIAL STUDIES,دبي,Dubai,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,8
2018-2019,EUROPEAN INTERNATIONAL COLLEGE,أبوظبي,Abu Dhabi,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,12
2018-2019,EUROPEAN UNIVERSITY COLLEGE,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,17
2018-2019,FATIMA COLLEGE OF HEALTH SCIENCES,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,115
2018-2019,FATIMA COLLEGE OF HEALTH SCIENCES,عجمان,Ajman,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,16
2018-2019,GULF MEDICAL UNIVERSITY,عجمان,Ajman,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,207
2018-2019,HAMDAN BIN MOHAMMED  SMART UNIVERSITY,دبي,Dubai,شبه حكومية,Semi Government,Non-National,Faculty,كادر التدريس الأكاديمي,109
2018-2019,HIGHER COLLEGES OF TECHNOLOGY,NULL,NULL,حكومة إتحادية,Federal Government,Non-National,Faculty,كادر التدريس الأكاديمي,1
2018-2019,HIGHER COLLEGES OF TECHNOLOGY,أبوظبي,Abu Dhabi,حكومة إتحادية,Federal Government,Non-National,Faculty,كادر التدريس الأكاديمي,508
2018-2019,HIGHER COLLEGES OF TECHNOLOGY,الشارقة,Sharjah,حكومة إتحادية,Federal Government,Non-National,Faculty,كادر التدريس الأكاديمي,265
2018-2019,HIGHER COLLEGES OF TECHNOLOGY,الفجيرة,Fujairah,حكومة إتحادية,Federal Government,Non-National,Faculty,كادر التدريس الأكاديمي,135
2018-2019,HIGHER COLLEGES OF TECHNOLOGY,دبي,Dubai,حكومة إتحادية,Federal Government,Non-National,Faculty,كادر التدريس الأكاديمي,286
2018-2019,HIGHER COLLEGES OF TECHNOLOGY,رأس الخيمة,Ras Al Khaima,حكومة إتحادية,Federal Government,Non-National,Faculty,كادر التدريس الأكاديمي,161
2018-2019,IMAM MALIK COLLEGE FOR ISLAMIC SHARIA AND LAW,دبي,Dubai,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,28
2018-2019,INSTITUTE OF MANAGEMENT TECHNOLOGY-DUBAI,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,18
2018-2019,JUMEIRA UNIVERSITY,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,40
2018-2019,KHALIFA UNIVERSITY,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,386
2018-2019,LIWA COLLEGE OF TECHNOLOGY,أبوظبي,Abu Dhabi,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,67
2018-2019,MENA COLLEGE OF MANAGEMENT,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,16
2018-2019,MOHAMED BIN ZAYED UNIVERSITY FOR HUMANITIES,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,9
2018-2019,MOHAMED BIN ZAYED UNIVERSITY FOR HUMANITIES,عجمان,Ajman,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,3
2018-2019,MOHAMMED BIN RASHID SCHOOL OF GOVERNMENT,دبي,Dubai,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,20
2018-2019,MOHAMMED BIN RASHID UNIVERSITY OF MEDICINE AND HEALTH SCIENCES,دبي,Dubai,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,78
2018-2019,NEW YORK INSTITUTE OF TECHNOLOGY,أبوظبي,Abu Dhabi,فرع مؤسسة دولية,Branch of International Institution,Non-National,Faculty,كادر التدريس الأكاديمي,23
2018-2019,"NEW YORK UNIVERSITY, ABU DHABI",أبوظبي,Abu Dhabi,فرع مؤسسة دولية,Branch of International Institution,Non-National,Faculty,كادر التدريس الأكاديمي,426
2018-2019,RABDAN ACADEMY,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,47
2018-2019,RAS AL KHAIMAH MEDICAL AND HEALTH SCIENCES UNIVERSITY,رأس الخيمة,Ras Al Khaima,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,132
2018-2019,ROCHESTER INSTITUTE OF TECHNOLOGY- DUBAI,دبي,Dubai,فرع مؤسسة دولية,Branch of International Institution,Non-National,Faculty,كادر التدريس الأكاديمي,50
2018-2019,SAINT JOSEPH UNIVERSITY DUBAI,خارج الدولة ,Outside of UAE ,فرع مؤسسة دولية,Branch of International Institution,Non-National,Faculty,كادر التدريس الأكاديمي,7
2018-2019,SAINT JOSEPH UNIVERSITY DUBAI,دبي,Dubai,فرع مؤسسة دولية,Branch of International Institution,Non-National,Faculty,كادر التدريس الأكاديمي,35
2018-2019,SKYLINE UNIVERSITY COLLEGE,الشارقة,Sharjah,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,52
2018-2019,"SORBONNE UNIVERSITY, ABU DHABI",أبوظبي,Abu Dhabi,فرع مؤسسة دولية,Branch of International Institution,Non-National,Faculty,كادر التدريس الأكاديمي,45
2018-2019,SYSCOMS COLLEGE,أبوظبي,Abu Dhabi,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,12
2018-2019,THE COLLEGE OF FASHION AND DESIGN,أبوظبي,Abu Dhabi,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,5
2018-2019,THE COLLEGE OF FASHION AND DESIGN,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,4
2018-2019,UMM AL QUWAIN UNIVERSITY,أم القيوين,Umm Al Quwain,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,35
2018-2019,UNITED ARAB EMIRATES  UNIVERSITY,أبوظبي,Abu Dhabi,حكومة إتحادية,Federal Government,Non-National,Faculty,كادر التدريس الأكاديمي,1250
2018-2019,UNIVERSITY COLLEGE OF MOTHER AND FAMILY SCIENCES,الشارقة,Sharjah,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,2
2018-2019,UNIVERSITY COLLEGE OF MOTHER AND FAMILY SCIENCES,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,1
2018-2019,UNIVERSITY COLLEGE OF MOTHER AND FAMILY SCIENCES,رأس الخيمة,Ras Al Khaima,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,1
2018-2019,UNIVERSITY COLLEGE OF MOTHER AND FAMILY SCIENCES,عجمان,Ajman,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,19
2018-2019,UNIVERSITY OF BALAMAND IN DUBAI,دبي,Dubai,فرع مؤسسة دولية,Branch of International Institution,Non-National,Faculty,كادر التدريس الأكاديمي,16
2018-2019,UNIVERSITY OF DUBAI,دبي,Dubai,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,61
2018-2019,UNIVERSITY OF FUJAIRAH,الفجيرة,Fujairah,شبه حكومية,Semi Government,Non-National,Faculty,كادر التدريس الأكاديمي,45
2018-2019,UNIVERSITY OF MODERN SCIENCES,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,45
2018-2019,UNIVERSITY OF SHARJAH,الشارقة,Sharjah,شبه حكومية,Semi Government,Non-National,Faculty,كادر التدريس الأكاديمي,671
2018-2019,UNIVERSITY OF WOLLONGONG IN DUBAI,دبي,Dubai,فرع مؤسسة دولية,Branch of International Institution,Non-National,Faculty,كادر التدريس الأكاديمي,150
2018-2019,ZAYED UNIVERSITY,أبوظبي,Abu Dhabi,حكومة إتحادية,Federal Government,Non-National,Faculty,كادر التدريس الأكاديمي,380
2018-2019,ZAYED UNIVERSITY,دبي,Dubai,حكومة إتحادية,Federal Government,Non-National,Faculty,كادر التدريس الأكاديمي,279
2019-2020,ABU DHABI POLYTECHNIC,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,82
2019-2020,ABU DHABI SCHOOL OF MANAGEMENT,أبوظبي,Abu Dhabi,شبه حكومية,Semi Government,Non-National,Faculty,كادر التدريس الأكاديمي,26
2019-2020,ABU DHABI UNIVERSITY,أبوظبي,Abu Dhabi,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,331
2019-2020,ABU DHABI UNIVERSITY,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,8
2019-2020,ABU DHABI VOCATIONAL EDUCATION AND TRAINING INSTITUTE,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,173
2019-2020,AJMAN UNIVERSITY ,عجمان,Ajman,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,402
2019-2020,AL AIN UNIVERSITY,أبوظبي,Abu Dhabi,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,210
2019-2020,AL DAR UNIVERSITY COLLEGE,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,58
2019-2020,AL FALAH UNIVERSITY,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,34
2019-2020,AL GHURAIR UNIVERSITY,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,69
2019-2020,AL KHAWARIZMI INTERNATIONAL COLLEGE,أبوظبي,Abu Dhabi,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,73
2019-2020,AL QASIMIYA UNIVERSITY,الشارقة,Sharjah,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,66
2019-2020,AL WASL UNIVERSITY,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,39
2019-2020,AMERICAN COLLEGE OF DUBAI,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,12
2019-2020,AMERICAN UNIVERSITY IN DUBAI,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,136
2019-2020,AMERICAN UNIVERSITY IN THE EMIRATES,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,142
2019-2020,AMERICAN UNIVERSITY OF RAS AL KHAIMAH,رأس الخيمة,Ras Al Khaima,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,108
2019-2020,AMERICAN UNIVERSITY OF SHARJAH,الشارقة,Sharjah,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,441
2019-2020,ANWAR GARGASH DIPLOMATIC ACADEMY,أبوظبي,Abu Dhabi,حكومة إتحادية,Federal Government,Non-National,Faculty,كادر التدريس الأكاديمي,6
2019-2020,BRITISH UNIVERSITY IN DUBAI,دبي,Dubai,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,35
2019-2020,CANADIAN UNIVERSITY DUBAI,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,92
2019-2020,CITY UNIVERSITY AJMAN,عجمان,Ajman,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,119
2019-2020,DUBAI INSTITUTE OF DESIGN AND INNOVATION,دبي,Dubai,حكومة محلية,Local Government,Non-National,Faculty,كادر التدريس الأكاديمي,9
2019-2020,DUBAI MEDICAL COLLEGE FOR GIRLS,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,35
2019-2020,DUBAI PHARMACY COLLEGE FOR GIRLS,دبي,Dubai,خاصة,Private,Non-National,Faculty,كادر التدريس الأكاديمي,38
